Y;X1;X2
-2000,000;-1000,000;-1000,000
-7000,000;-2000,000;-5000,000
-11285000,000;-7210000,000;-4075000,000
-12195000,000;-5329000,000;-6866000,000
-13339000,000;-6422000,000;-6917000,000
-15033000,000;-7272000,000;-7761000,000
-8753000,000;-786000,000;-7967000,000
-8011000,000;-2063000,000;-5948000,000
-9886000,000;-2151000,000;-7735000,000
-6230000,000;-894000,000;-5336000,000
-11840000,000;-5511000,000;-6329000,000
-4318000,000;-2770000,000;-1548000,000
-4722000,000;-3148000,000;-1574000,000
-7717000,000;-7470000,000;-247000,000
-12163000,000;-8073000,000;-4090000,000
-1528000,000;-226000,000;-1302000,000
-5052000,000;-2906000,000;-2146000,000
-6057000,000;-3044000,000;-3013000,000
-12088000,000;-7403000,000;-4685000,000
-5899000,000;-1092000,000;-4807000,000
-7561000,000;-5053000,000;-2508000,000
-6974000,000;-1551000,000;-5423000,000
-7115000,000;-989000,000;-6126000,000
-11253000,000;-5357000,000;-5896000,000
-8068000,000;-5553000,000;-2515000,000
-10049000,000;-7164000,000;-2885000,000
-10265000,000;-4114000,000;-6151000,000
-7434000,000;-5892000,000;-1542000,000
-11216000,000;-5166000,000;-6050000,000
-3679000,000;-616000,000;-3063000,000
-10600000,000;-3427000,000;-7173000,000
-10763000,000;-7775000,000;-2988000,000
-11010000,000;-5868000,000;-5142000,000
-8358000,000;-2183000,000;-6175000,000
-1187000,000;-845000,000;-342000,000
-13849000,000;-9072000,000;-4777000,000
-14862000,000;-8453000,000;-6409000,000
-12310000,000;-9000000,000;-3310000,000
-3701000,000;-2461000,000;-1240000,000
-6056000,000;-547000,000;-5509000,000
-7608000,000;-6829000,000;-779000,000
-2833000,000;-948000,000;-1885000,000
-8397000,000;-5814000,000;-2583000,000
-13880000,000;-6589000,000;-7291000,000
-4942000,000;-1246000,000;-3696000,000
-1768000,000;-1529000,000;-239000,000
-6747000,000;-3841000,000;-2906000,000
-5554000,000;-2488000,000;-3066000,000
-9030000,000;-3742000,000;-5288000,000
-7113000,000;-772000,000;-6341000,000
-11672000,000;-9052000,000;-2620000,000
-8571000,000;-4289000,000;-4282000,000
-12522000,000;-6092000,000;-6430000,000
-1609000,000;-692000,000;-917000,000
-7981000,000;-4695000,000;-3286000,000
-9424000,000;-8434000,000;-990000,000
-9235000,000;-6271000,000;-2964000,000
-14824000,000;-7501000,000;-7323000,000
-9011000,000;-3723000,000;-5288000,000
-11495000,000;-8143000,000;-3352000,000
-9580000,000;-2965000,000;-6615000,000
-4776000,000;-3273000,000;-1503000,000
-7648000,000;-1587000,000;-6061000,000
-8853000,000;-6531000,000;-2322000,000
-14487000,000;-7157000,000;-7330000,000
-5713000,000;-3030000,000;-2683000,000
-5389000,000;-3032000,000;-2357000,000
-7105000,000;-6577000,000;-528000,000
-6872000,000;-6098000,000;-774000,000
-12671000,000;-6712000,000;-5959000,000
-6790000,000;-1616000,000;-5174000,000
-9219000,000;-4350000,000;-4869000,000
-7897000,000;-4940000,000;-2957000,000
-10857000,000;-3309000,000;-7548000,000
-13531000,000;-6998000,000;-6533000,000
-7787000,000;-2500000,000;-5287000,000
-6951000,000;-914000,000;-6037000,000
-9357000,000;-6437000,000;-2920000,000
-2041000,000;-1439000,000;-602000,000
-9459000,000;-8360000,000;-1099000,000
-9846000,000;-4449000,000;-5397000,000
-14473000,000;-7780000,000;-6693000,000
-7102000,000;-4356000,000;-2746000,000
-4811000,000;-2041000,000;-2770000,000
-11122000,000;-5042000,000;-6080000,000
-14262000,000;-6574000,000;-7688000,000
-8682000,000;-4071000,000;-4611000,000
-7530000,000;-1281000,000;-6249000,000
-10477000,000;-9173000,000;-1304000,000
-8464000,000;-1147000,000;-7317000,000
-13227000,000;-8930000,000;-4297000,000
-4357000,000;-3582000,000;-775000,000
-13106000,000;-9087000,000;-4019000,000
-14244000,000;-8550000,000;-5694000,000
-15386000,000;-8805000,000;-6581000,000
-5467000,000;-1348000,000;-4119000,000
-3475000,000;-3192000,000;-283000,000
-10546000,000;-3897000,000;-6649000,000
-8665000,000;-6188000,000;-2477000,000
-9974000,000;-7977000,000;-1997000,000
-2460000,000;-838000,000;-1622000,000
-4138000,000;-1092000,000;-3046000,000
-3580000,000;-1432000,000;-2148000,000
-4705000,000;-4416000,000;-289000,000
-4716000,000;-2196000,000;-2520000,000
-7052000,000;-4091000,000;-2961000,000
-9176000,000;-4392000,000;-4784000,000
-17226000,000;-9096000,000;-8130000,000
-8959000,000;-1976000,000;-6983000,000
-5789000,000;-1115000,000;-4674000,000
-10344000,000;-8753000,000;-1591000,000
-7968000,000;-6897000,000;-1071000,000
-8204000,000;-7557000,000;-647000,000
-9146000,000;-7296000,000;-1850000,000
-2940000,000;-2055000,000;-885000,000
-2686000,000;-589000,000;-2097000,000
-6353000,000;-2766000,000;-3587000,000
-13610000,000;-9051000,000;-4559000,000
-11303000,000;-7741000,000;-3562000,000
-3659000,000;-2922000,000;-737000,000
-4887000,000;-4228000,000;-659000,000
-5449000,000;-2840000,000;-2609000,000
-7483000,000;-1943000,000;-5540000,000
-12667000,000;-5638000,000;-7029000,000
-5198000,000;-1297000,000;-3901000,000
-7097000,000;-5449000,000;-1648000,000
-13247000,000;-8691000,000;-4556000,000
-11408000,000;-8257000,000;-3151000,000
-3258000,000;-1428000,000;-1830000,000
-10726000,000;-8586000,000;-2140000,000
-10665000,000;-5957000,000;-4708000,000
-12454000,000;-6995000,000;-5459000,000
-8578000,000;-1721000,000;-6857000,000
-15104000,000;-8267000,000;-6837000,000
-16674000,000;-8471000,000;-8203000,000
-6403000,000;-2425000,000;-3978000,000
-10054000,000;-8775000,000;-1279000,000
-7000000,000;-4035000,000;-2965000,000
-13282000,000;-5846000,000;-7436000,000
-11773000,000;-8763000,000;-3010000,000
-8795000,000;-2934000,000;-5861000,000
-7080000,000;-5294000,000;-1786000,000
-11285000,000;-3486000,000;-7799000,000
-11562000,000;-8097000,000;-3465000,000
-12812000,000;-8015000,000;-4797000,000
-15506000,000;-8099000,000;-7407000,000
-5076000,000;-2566000,000;-2510000,000
-5855000,000;-570000,000;-5285000,000
-15230000,000;-7050000,000;-8180000,000
-9670000,000;-2091000,000;-7579000,000
-8520000,000;-5125000,000;-3395000,000
-7535000,000;-4351000,000;-3184000,000
-9609000,000;-1585000,000;-8024000,000
-9355000,000;-2120000,000;-7235000,000
-9173000,000;-1510000,000;-7663000,000
-9788000,000;-4781000,000;-5007000,000
-9523000,000;-1955000,000;-7568000,000
-5920000,000;-5347000,000;-573000,000
-9483000,000;-8769000,000;-714000,000
-7606000,000;-812000,000;-6794000,000
-5349000,000;-3381000,000;-1968000,000
-8209000,000;-7610000,000;-599000,000
-12233000,000;-7586000,000;-4647000,000
-5460000,000;-2397000,000;-3063000,000
-7132000,000;-6855000,000;-277000,000
-6786000,000;-3564000,000;-3222000,000
-6302000,000;-1778000,000;-4524000,000
-8822000,000;-2810000,000;-6012000,000
-9703000,000;-6576000,000;-3127000,000
-8823000,000;-3065000,000;-5758000,000
-6270000,000;-4476000,000;-1794000,000
-9118000,000;-4451000,000;-4667000,000
-9972000,000;-9091000,000;-881000,000
-13561000,000;-5372000,000;-8189000,000
-6564000,000;-5537000,000;-1027000,000
-13091000,000;-9110000,000;-3981000,000
-14690000,000;-8850000,000;-5840000,000
-10878000,000;-3138000,000;-7740000,000
-8219000,000;-3205000,000;-5014000,000
-1898000,000;-609000,000;-1289000,000
-12279000,000;-4134000,000;-8145000,000
-8629000,000;-830000,000;-7799000,000
-8273000,000;-3417000,000;-4856000,000
-13259000,000;-8185000,000;-5074000,000
-9385000,000;-7578000,000;-1807000,000
-16420000,000;-8746000,000;-7674000,000
-4412000,000;-1926000,000;-2486000,000
-5894000,000;-4676000,000;-1218000,000
-3412000,000;-2467000,000;-945000,000
-11503000,000;-4622000,000;-6881000,000
-9811000,000;-3582000,000;-6229000,000
-11182000,000;-4056000,000;-7126000,000
-9482000,000;-6459000,000;-3023000,000
-7115000,000;-1993000,000;-5122000,000
-10765000,000;-4366000,000;-6399000,000
-2794000,000;-1185000,000;-1609000,000
-4917000,000;-3720000,000;-1197000,000
-9969000,000;-5753000,000;-4216000,000
-4090000,000;-2877000,000;-1213000,000
-9368000,000;-7544000,000;-1824000,000
-10740000,000;-2625000,000;-8115000,000
-10392000,000;-7471000,000;-2921000,000
-11934000,000;-5737000,000;-6197000,000
-8191000,000;-6076000,000;-2115000,000
-6772000,000;-6363000,000;-409000,000
-7631000,000;-145000,000;-7486000,000
-4487000,000;-2235000,000;-2252000,000
-4512000,000;-1780000,000;-2732000,000
-6733000,000;-1943000,000;-4790000,000
-10444000,000;-8432000,000;-2012000,000
-11362000,000;-6911000,000;-4451000,000
-3613000,000;-608000,000;-3005000,000
-6700000,000;-1858000,000;-4842000,000
-12791000,000;-7149000,000;-5642000,000
-7500000,000;-4174000,000;-3326000,000
-15642000,000;-8682000,000;-6960000,000
-3107000,000;-2625000,000;-482000,000
-11804000,000;-4961000,000;-6843000,000
-11936000,000;-6059000,000;-5877000,000
-2362000,000;-630000,000;-1732000,000
-3377000,000;-1144000,000;-2233000,000
-14207000,000;-7102000,000;-7105000,000
-3421000,000;-2426000,000;-995000,000
-6235000,000;-5066000,000;-1169000,000
-4520000,000;-180000,000;-4340000,000
-4122000,000;-3913000,000;-209000,000
-11375000,000;-8323000,000;-3052000,000
-8000000,000;-2469000,000;-5531000,000
-2153000,000;-373000,000;-1780000,000
-4078000,000;-324000,000;-3754000,000
-5217000,000;-649000,000;-4568000,000
-12169000,000;-4789000,000;-7380000,000
-13456000,000;-7742000,000;-5714000,000
-2737000,000;-478000,000;-2259000,000
-11722000,000;-8732000,000;-2990000,000
-7469000,000;-6426000,000;-1043000,000
-10961000,000;-9019000,000;-1942000,000
-7459000,000;-4321000,000;-3138000,000
-12156000,000;-5773000,000;-6383000,000
-12003000,000;-4205000,000;-7798000,000
-12335000,000;-5396000,000;-6939000,000
-5048000,000;-3856000,000;-1192000,000
-11127000,000;-5102000,000;-6025000,000
-9221000,000;-4956000,000;-4265000,000
-14286000,000;-8998000,000;-5288000,000
-14504000,000;-7840000,000;-6664000,000
-11276000,000;-6380000,000;-4896000,000
-16176000,000;-8521000,000;-7655000,000
-2971000,000;-1583000,000;-1388000,000
-6239000,000;-3936000,000;-2303000,000
-10361000,000;-2289000,000;-8072000,000
-8587000,000;-7584000,000;-1003000,000
-7565000,000;-2229000,000;-5336000,000
-2597000,000;-735000,000;-1862000,000
-12055000,000;-4394000,000;-7661000,000
-6460000,000;-4304000,000;-2156000,000
-10084000,000;-7667000,000;-2417000,000
-11805000,000;-9084000,000;-2721000,000
-10349000,000;-4367000,000;-5982000,000
-7648000,000;-5870000,000;-1778000,000
-3385000,000;-83000,000;-3302000,000
-10969000,000;-7469000,000;-3500000,000
-12968000,000;-8362000,000;-4606000,000
-6851000,000;-2697000,000;-4154000,000
-13889000,000;-8150000,000;-5739000,000
4482000,000;-858000,000;5340000,000
-1247000,000;-2355000,000;1108000,000
-13201000,000;-7155000,000;-6046000,000
7763000,000;-885000,000;8648000,000
-9302000,000;-4224000,000;-5078000,000
-722000,000;-3283000,000;2561000,000
1454000,000;-2664000,000;4118000,000
3039000,000;-838000,000;3877000,000
-1750000,000;-6285000,000;4535000,000
4732000,000;-381000,000;5113000,000
-4406000,000;-7491000,000;3085000,000
5085000,000;-2582000,000;7667000,000
-15490000,000;-8372000,000;-7118000,000
-7550000,000;-6135000,000;-1415000,000
-10412000,000;-6988000,000;-3424000,000
-3434000,000;-9102000,000;5668000,000
-9047000,000;-866000,000;-8181000,000
-3209000,000;-943000,000;-2266000,000
-6049000,000;-205000,000;-5844000,000
626000,000;-1244000,000;1870000,000
